cds	rtype	schoolname	districtname	countyname	charter_flag	coe_flag	dass_flag	currprogressed	currmaintainPL4	currmaintainOth	currdeclined	currnumer	currdenom	currstatus	statuslevel	flag95pct	nsizemet	nsizegroup	reportingyear
01611760000000	D		Fremont Unified	Alameda				1123	148	724	400	1271	2395	53.1	3		Y	30 and Up	2019
01612000000000	D		Livermore Valley Joint Unified	Alameda				510	70	383	230	580	1193	48.6	3		Y	30 and Up	2019
01751010000000	D		Pleasanton Unified	Alameda				453	226	203	126	679	1008	67.4	5		Y	30 and Up	2019
03100330000000	D		Amador County Office of Education	Amador		Y									0		N	0 to 10	2019
03739810000000	D		Amador County Unified	Amador				38	2	20	14	40	74	54.1	3		Y	30 and Up	2019
04613820000000	D		Bangor Union Elementary	Butte											0		N	0 to 10	2019
04614240000000	D		Chico Unified	Butte				261	1	171	60	262	493	53.1	3		Y	30 and Up	2019
04614320000000	D		Durham Unified	Butte				26	3	20	8	29	57	50.9	3		Y	30 and Up	2019
04615150000000	D		Oroville Union High	Butte				30	0	14	6	30	50	60	2	Y	Y	30 and Up	2019
04615230000000	D		Palermo Union Elementary	Butte				36	3	43	24	39	106	36.8	2		Y	30 and Up	2019
04615310000000	D		Paradise Unified	Butte											0		N	0 to 10	2019
04755070000000	D		Gridley Unified	Butte				122	5	61	34	127	222	57.2	4		Y	30 and Up	2019
05615640000000	D		Calaveras Unified	Calaveras				30	2	17	16	32	65	49.2	2	Y	Y	30 and Up	2019
05615720000000	D		Mark Twain Union Elementary	Calaveras				26	0	10	8	26	44	59.1	4		Y	30 and Up	2019
05615800000000	D		Vallecito Union	Calaveras				6	1	9	4	7	20	35	2		N	11 to 29	2019
06100660000000	D		Colusa County Office of Education	Colusa		Y									0		N	0 to 10	2019
06616220000000	D		Williams Unified	Colusa				169	54	166	116	223	505	44.2	2		Y	30 and Up	2019
07616300000000	D		Acalanes Union High	Contra Costa				19	15	13	6	34	53	64.2	2	Y	Y	30 and Up	2019
