cds	rtype	schoolname	districtname	countyname	charter_flag	coe_flag	dass_flag	studentgroup	currnumer	currdenom	currstatus	priornumer	priordenom	priorstatus	fiveyrnumer	safetynet	change	statuslevel	changelevel	color	box	reportingyear
00000000000000	X							AA	24129	30676	78.7	24977	34716	72	413	N	6.7	2	5	3	200	2019
00000000000000	X							AI	2275	2901	78.4	2427	3292	73.7	38	N	4.7	2	4	3	190	2019
00000000000000	X							ALL	437249	509219	85.9	438529	527433	83.1	5815	N	2.7	3	4	4	140	2019
00000000000000	X							AS	43304	46115	93.9	44718	47924	93.3	374	N	0.6	4	3	4	80	2019
00000000000000	X							EL	53590	73734	72.7	54181	76335	71	2055	N	1.7	2	4	3	190	2019
00000000000000	X							FI	13970	14883	93.9	13923	15039	92.6	96	N	1.3	4	4	4	90	2019
00000000000000	X							FOS	4197	6534	64.2	4089	6898	59.3	177	N	5	1	5	1	250	2019
00000000000000	X							HI	229025	273403	83.8	224693	278300	80.7	3425	N	3	3	4	4	140	2019
00000000000000	X							HOM	24059	30938	77.8	23684	31319	75.6	609	N	2.2	2	4	3	190	2019
00000000000000	X							MR	12883	14821	86.9	12183	14441	84.4	156	N	2.6	3	4	4	140	2019
00000000000000	X							PI	2139	2514	85.1	2253	2790	80.8	32	N	4.3	3	4	4	140	2019
00000000000000	X							SED	289537	347693	83.3	288880	359172	80.4	4845	N	2.8	3	4	4	140	2019
00000000000000	X							SWD	42875	60633	70.7	42721	59370	72	1586	N	-1.3	2	2	2	170	2019
00000000000000	X							WH	106321	119331	89.1	110103	126000	87.4	1223	N	1.7	3	4	4	140	2019
01100170000000	D		Alameda County Office of Education	Alameda		Y		AA	28	37	75.7	31	58	53.5	0	Y	22.2	3	4	4	140	2019
01100170000000	D		Alameda County Office of Education	Alameda		Y		ALL	60	80	75	83	144	57.6	0	Y	17.4	3	4	4	140	2019
01100170000000	D		Alameda County Office of Education	Alameda		Y		AS		2			3		0	Y		0	0	0	0	2019
01100170000000	D		Alameda County Office of Education	Alameda		Y		EL	5	11	45.5	16	23	69.6	0	Y	-24.1	1	2	0	0	2019
01100170000000	D		Alameda County Office of Education	Alameda		Y		FOS		8		14	24	58.3	0	Y		0	0	0	0	2019
01100170000000	D		Alameda County Office of Education	Alameda		Y		HI	25	33	75.8	37	64	57.8	0	Y	18	3	4	4	140	2019
01100170000000	D		Alameda County Office of Education	Alameda		Y		HOM		6		13	25	52	0	Y		0	0	0	0	2019
01100170000000	D		Alameda County Office of Education	Alameda		Y		MR		3			7		0	Y		0	0	0	0	2019
01100170000000	D		Alameda County Office of Education	Alameda		Y		PI		1			1		0	Y		0	0	0	0	2019
01100170000000	D		Alameda County Office of Education	Alameda		Y		SED	53	72	73.6	76	134	56.7	0	Y	16.9	3	4	4	140	2019
01100170000000	D		Alameda County Office of Education	Alameda		Y		SWD	9	16	56.3	17	32	53.1	0	Y	3.1	1	4	0	0	2019
01100170000000	D		Alameda County Office of Education	Alameda		Y		WH		4			9		0	Y		0	0	0	0	2019
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y			AA	21	24	87.5	39	41	95.1	0	Y	-7.6	3	2	0	0	2019
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y			ALL	80	85	94.1	88	95	92.6	0	Y	1.5	4	4	4	90	2019
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y			AS		1			2		0	Y		0	0	0	0	2019
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y			EL	15	15	100	13	15	86.7	0	Y	13.3	5	4	0	0	2019
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y			FI		1			0		0	Y		0	0	0	0	2019
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y			HI	50	52	96.2	39	44	88.6	0	Y	7.5	5	4	5	40	2019
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y			MR		2			2		0	Y		0	0	0	0	2019
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y			PI		2			2		0	Y		0	0	0	0	2019
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y			SED	72	77	93.5	79	85	92.9	0	Y	0.6	4	3	4	80	2019
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y			SWD		9		15	17	88.2	0	Y		0	0	0	0	2019
01100170112607	S	Envision Academy for Arts & Technology	Alameda County Office of Education	Alameda	Y			WH		3			1		0	Y		0	0	0	0	2019
01100170130401	S	Alameda County Juvenile Hall/Court	Alameda County Office of Education	Alameda			Y	AA		10		13	23	56.5	0	Y		0	0	0	0	2019
01100170130401	S	Alameda County Juvenile Hall/Court	Alameda County Office of Education	Alameda			Y	ALL	12	19	63.2	22	36	61.1	0	Y	2.1	1	3	0	0	2019
01100170130401	S	Alameda County Juvenile Hall/Court	Alameda County Office of Education	Alameda			Y	EL		1			6		0	Y		0	0	0	0	2019
01100170130401	S	Alameda County Juvenile Hall/Court	Alameda County Office of Education	Alameda			Y	FOS		3		5	11	45.5	0	Y		0	0	0	0	2019
01100170130401	S	Alameda County Juvenile Hall/Court	Alameda County Office of Education	Alameda			Y	HI		5			9		0	Y		0	0	0	0	2019
01100170130401	S	Alameda County Juvenile Hall/Court	Alameda County Office of Education	Alameda			Y	HOM		1		8	14	57.1	0	Y		0	0	0	0	2019
01100170130401	S	Alameda County Juvenile Hall/Court	Alameda County Office of Education	Alameda			Y	MR		1			2		0	Y		0	0	0	0	2019
01100170130401	S	Alameda County Juvenile Hall/Court	Alameda County Office of Education	Alameda			Y	PI		1			0		0	Y		0	0	0	0	2019
01100170130401	S	Alameda County Juvenile Hall/Court	Alameda County Office of Education	Alameda			Y	SED	12	19	63.2	22	36	61.1	0	Y	2.1	1	3	0	0	2019
01100170130401	S	Alameda County Juvenile Hall/Court	Alameda County Office of Education	Alameda			Y	SWD		10		8	17	47.1	0	Y		0	0	0	0	2019
01100170130401	S	Alameda County Juvenile Hall/Court	Alameda County Office of Education	Alameda			Y	WH		2			2		0	Y		0	0	0	0	2019
01100170130419	S	Alameda County Community	Alameda County Office of Education	Alameda			Y	AA	22	27	81.5	17	33	51.5	0	Y	30	4	4	0	0	2019
01100170130419	S	Alameda County Community	Alameda County Office of Education	Alameda			Y	ALL	48	61	78.7	59	104	56.7	0	Y	22	3	4	4	140	2019
01100170130419	S	Alameda County Community	Alameda County Office of Education	Alameda			Y	AS		2			2		0	Y		0	0	0	0	2019
01100170130419	S	Alameda County Community	Alameda County Office of Education	Alameda			Y	EL		10		9	15	60	0	Y		0	0	0	0	2019
01100170130419	S	Alameda County Community	Alameda County Office of Education	Alameda			Y	FOS		5		9	12	75	0	Y		0	0	0	0	2019
01100170130419	S	Alameda County Community	Alameda County Office of Education	Alameda			Y	HI	21	28	75	31	54	57.4	0	Y	17.6	3	4	0	0	2019
01100170130419	S	Alameda County Community	Alameda County Office of Education	Alameda			Y	HOM		5			9		0	Y		0	0	0	0	2019
01100170130419	S	Alameda County Community	Alameda County Office of Education	Alameda			Y	MR		2			5		0	Y		0	0	0	0	2019
01100170130419	S	Alameda County Community	Alameda County Office of Education	Alameda			Y	SED	41	53	77.4	52	94	55.3	0	Y	22	3	4	4	140	2019
01100170130419	S	Alameda County Community	Alameda County Office of Education	Alameda			Y	SWD		6		8	12	66.7	0	Y		0	0	0	0	2019
