cds	rtype	schoolname	districtname	countyname	charter_flag	coe_flag	dass_flag	enrolled	tested	prate	reportingyear
01611760000000	D		Fremont Unified	Alameda				3785	3690	98	2019
01612000000000	D		Livermore Valley Joint Unified	Alameda				1465	1460	100	2019
01751010000000	D		Pleasanton Unified	Alameda				1528	1501	98	2019
03100330000000	D		Amador County Office of Education	Amador		Y		7	7	100	2019
03739810000000	D		Amador County Unified	Amador				111	105	95	2019
04613820000000	D		Bangor Union Elementary	Butte				7	7	100	2019
04614240000000	D		Chico Unified	Butte				673	653	97	2019
04614320000000	D		Durham Unified	Butte				66	66	100	2019
04615150000000	D		Oroville Union High	Butte				60	56	93	2019
04615230000000	D		Palermo Union Elementary	Butte				141	140	99	2019
04615310000000	D		Paradise Unified	Butte				13	12	92	2019
04755070000000	D		Gridley Unified	Butte				305	296	97	2019
05615640000000	D		Calaveras Unified	Calaveras				91	85	93	2019
05615720000000	D		Mark Twain Union Elementary	Calaveras				53	51	96	2019
05615800000000	D		Vallecito Union	Calaveras				23	23	100	2019
06100660000000	D		Colusa County Office of Education	Colusa		Y		5	5	100	2019
06616220000000	D		Williams Unified	Colusa				650	631	97	2019
07616300000000	D		Acalanes Union High	Contra Costa				94	71	76	2019
07617050000000	D		Knightsen Elementary	Contra Costa				106	96	91	2019
07617130000000	D		Lafayette Elementary	Contra Costa				87	86	99	2019
07617700000000	D		Orinda Union Elementary	Contra Costa				45	42	93	2019
07618040000000	D		San Ramon Valley Unified	Contra Costa				1243	1198	96	2019
08100820000000	D		Del Norte County Office of Education	Del Norte		Y		5	5	100	2019
09618530000000	D		El Dorado Union High	El Dorado				74	61	82	2019
09618790000000	D		Gold Oak Union Elementary	El Dorado				8	6	75	2019
09619450000000	D		Pioneer Union Elementary	El Dorado				12	10	83	2019
09619520000000	D		Placerville Union Elementary	El Dorado				174	172	99	2019
09619600000000	D		Pollock Pines Elementary	El Dorado				14	13	93	2019
09737830000000	D		Black Oak Mine Unified	El Dorado				13	13	100	2019
10101080000000	D		Fresno County Office of Education	Fresno		Y		141	94	67	2019
10621660000000	D		Fresno Unified	Fresno				13083	12486	95	2019
10622400000000	D		Kingsburg Elementary Charter	Fresno				234	229	98	2019
10622810000000	D		Laton Joint Unified	Fresno				275	236	86	2019
