cdsCode|lea|priorityNumber|policyDev|capacity|edNeeds|edServices|records|secondaryOpp|needs|outcomeData|additionalInfo|meetingDate|performance|year
01100170000000|Alameda County Office of Education|10|4|4|5|5|5|4|4|4|This past year, ACOE-FYSCP re-engaged Probation which resulted in the development of an MOU and increased participation in our Executive Advisory Council. In regards to transportation agreements, Child Welfare is currently analyzing a group of foster youth and their transportation needs as part of a pilot which will impact a final draft of a transportation agreement between the agency and our local school districts. FYSCP updated its board policies pertaining to high school graduation requirements and waivers for our court and community schools including AB 216 (foster), homeless, immigrant, migrant, and students from military families. Our Foster Focus database is more fully utilized as the Sacramento COE continues to add features to the program including all FYSCP, services, FAFSA support, and more recently a school stability pilot which ACOE is a participant. In addition, FYSCP facilitates the transfer of school records, insures that IEP's are updated, and assists in analyzing high school transcripts. Education case management services are provided by five staff. All FYSCP staff review available data to help determine areas of academic need by reviewing outcomes from Dashboards and DataQuest. More recently, we have gained access to post-secondary outcomes with data provided by CalPASS. Local community needs and feedback are solicited yearly. In 2019, statewide, all FYSCP's were given an educational needs survey to disseminate to its local partners.|2019-10-15|Met|2019
02100250000000|Alpine County Office of Education|10|4|4|5|5|5|3|3|3|We are a single-single and all of our high school age students are sent out of County but we work with those agencies and adult ed to ensure that those students receive post secondary education information.|2019-10-08|Met|2019
03100330000000|Amador County Office of Education|10|4|4|5|2|5|3|3|3|Foster youth are the most at risk student population in Amador County Office of Education (ACOE). However, our participation in the Foster Youth Services Coordinating Program (FYSCP) is allowing us to increase our students’ access to resources. We have identified a subgroup of our Foster Youth that stands out as being even more at-risk. This subgroup is made up of youth who have had many different foster and home placements along with school changes. This creates extreme obstacles in the ability to continue with the school of origin and often results in educational gaps, increased educational and behavioral needs, and exposure to continuous trauma. In response to this continuous trauma ACOE, in collaboration with our county agencies, has worked to provide training for staff and community members in trauma-informed practices. There are many trainings offered for staff and community members by the FYSCP and our local agencies such as Resilient Amador, Adverse Childhood Experiences (ACES) trainings, and Youth Mental Health First Aid to name a few. Trauma-informed staff and community members have increased positive interactions with our foster youth and other youth impacted by trauma in their lives. The Foster Liaison attends multi-disciplinary team meetings bi-weekly at the department of behavioral health. Through these meetings, we are able to work together as a community to leverage resources and collaborate about the foster youth that we serve.|2019-11-06|Met|2019
04100410000000|Butte County Office of Education|10|3|4|5|5|5|4|3|3||2019-10-14|Met|2019
05100580000000|Calaveras County Office of Education|10|5|4|5|3|4|4|4|4||2019-10-28|Met|2019
06100660000000|Colusa County Office of Education|10|4|4|4|4|4|4|3|3||2019-06-19|Met|2019
07100740000000|Contra Costa County Office of Education|10|2|5|5|1|2|5|0|5||2019-10-16|Met|2019
08100820000000|Del Norte County Office of Education|10|4|4|4|4|4|4|4|4|The COE has a Foster Youth Coordinator that works with the County of Del Norte to make sure that the students in Foster Care have access to services to improve their educational outcomes.|2019-10-24|Met|2019
09100900000000|El Dorado County Office of Education|10|3|4|4|5|5|4|2|3||2019-10-01|Met|2019
10101080000000|Fresno County Office of Education|10|5|5|5|5|5|5|5|5||2019-10-17|Met|2019
11101160000000|Glenn County Office of Education|10|5|5|5|5|5|5|4|4||2019-10-16|Met|2019
12101240000000|Humboldt County Office of Education|10|5|5|5|5|5|3|4|3||2019-10-23|Met|2019
13101320000000|Imperial County Office of Education|10|5|5|4|4|5|4|3|4|The Foster Youth Services Coordinating Program (FYSCP) continues to work collaboratively with LEAs, Child Welfare, Probation and Courts to ensure proper placement of foster youth. FYSCP continues to assists LEAs when requested to coordinate meetings with all agencies to discuss individual Foster Youth cases. Meetings such as SSTs and IEPs are coordinated to evaluate the students’ current needs. FYSCP has been conducting FYSCP Network Meetings with District FYS Liaisons and also has met with District Counselors more frequently in efforts to assist in meeting the needs of Foster Youth enrolled in their Districts. FYSCP has provided a series of trainings for LEA personnel which also include Designated LEA Foster Youth Liaisons and also to Department of Social Services Social Workers in the areas of AB490, AB854 and ESSA.  FYSCP has collaborated with IVROP, Project Ace in coordinating a Summer Academic Program to help children and youth improve their academics in the areas of English Language Arts and Mathematics. The FYSPC is working collaboratively with a variety of agencies to support students to post-secondary options. FYSCP has provided out of county college/university tours to local foster youth.  FYSCP, Imperial County Department of Social Services, Imperial County Probation Department and LEA Foster Youth Liaisons will have access to Foster Focus to support systemic coordination.|2019-10-14|Met|2019
14101400000000|Inyo County Office of Education|10|2|3|4|3|5|4|3|3||2019-10-17|Met|2019
15101570000000|Kern County Office of Education|10|5|5|5|4|5|4|3|4||2019-10-08|Met|2019
16101650000000|Kings County Office of Education|10|3|4|3|3|4|5|3|3||2019-10-15|Met|2019
17101730000000|Lake County Office of Education|10|4|4|4|3|3|4|2|3||2019-06-12|Met|2019
18101810000000|Lassen County Office of Education|10|4|4|4|4|4|4|4|4||2019-04-17|Met|2019
19101990000000|Los Angeles County Office of Education|10|5|5|5|5|5|5|5|5||2019-10-15|Met|2019
20102070000000|Madera County Superintendent of Schools|10|4|4|4|4|4|4|3|3||2019-10-08|Met|2019
21102150000000|Marin County Office of Education|10|5|4|5|2|5|3|3|4|*4:  At this point, districts have not engaged in the direct service waiver referred to in item #4.  Should the district have this need, MCOE is prepared to enact the waiver as needed - the most recent iteration from CDE, dated 2019.|2019-10-15|Met|2019
22102230000000|Mariposa County Office of Education|10|4|4|4|3|4|3|4|3||2019-10-10|Met|2019
23102310000000|Mendocino County Office of Education|10|4|3|2|4|4|3|3|3||2019-10-14|Met|2019
24102490000000|Merced County Office of Education|10|5|4|5|4|5|5|4|4||2019-10-21|Met|2019
25102560000000|Modoc County Office of Education|10|4|4|4|3|4|3|4|3||2019-10-14|Met|2019
26102640000000|Mono County Office of Education|10|3|3|4|3|3|3|3|3||2019-10-03|Met|2019
27102720000000|Monterey County Office of Education|10|4|4|4|4|4|4|4|4||2019-10-16|Met|2019
28102800000000|Napa County Office of Education|10|4|4|5|4|5|5|4|4||2019-10-01|Met|2019
29102980000000|Nevada County Office of Education|10|1|4|4|4|4|5|4|2||2019-10-09|Met|2019
30103060000000|Orange County Department of Education|10|5|5|5|5|4|4|5|4||2019-10-16|Met|2019
31103140000000|Placer County Office of Education|10|5|5|5|5|5|5|5|5||2019-06-13|Met|2019
32103220000000|Plumas County Office of Education|10|3|4|4|4|5|3|3|3||2019-11-13|Met|2019
33103300000000|Riverside County Office of Education|10|3|3|3|3|3|3|3|3|The RCOE Foster Youth Services Coordinating Program used the local performance indicator self-reflection tool.|2019-10-02|Met|2019
34103480000000|Sacramento County Office of Education|10|5|5|5|5|5|5|5|5|SCOE's Foster Youth Services Department monitors foster youth academic engagement and enrollment daily using ourFoster Focus system. This innovative system was awarded a Golden Bell at the 36th annual California School Boards Association conference, operates as a network throughout the state. The system makes it possible for users to retrieve daily refreshed data to help monitor and intervene to improve the education outcomes of foster youth.  High mobility often threatens the education outcomes of youth in foster care. As a child moves from school to school, important academic records can lag behind or become lost. Designated school districts, CPS, and probation may access Foster Focus and instantly retrieve student data, resulting in immediate and appropriate enrollment and placement, and a smoother transition.  Upon completion, a centralized Registrar contacts SCOE to ensure appropriate services are provided. This includes coordination of any outside services such as drug and alcohol counseling, anger management classes, mental health services, and possibly parenting classes for teen parents. SCOE leads or participates in multi-agency teams that lead service delivery for foster youth. This is done in cooperation with district placement officers, child welfare professionals, juvenile courts judges and staff, and mental health agencies. Each team meets quarterly to share data and coordinate services to ensure the transfer of health and education records for foster youth.|2019-10-15|Met|2019
35103550000000|San Benito County Office of Education|10|3|3|3|2|4|2|3|4||2019-10-10|Met|2019
36103630000000|San Bernardino County Office of Education|10|5|5|5|5|5|5|4|4||2019-10-07|Met|2019
37103710000000|San Diego County Office of Education|10|5|4|4|4|4|4|4|4||2019-10-09|Met|2019
38103890000000|San Francisco County Office of Education|10|4|5|5|5|5|4|4|4||2019-10-15|Met|2019
39103970000000|San Joaquin County Office of Education|10|5|5|5|5|5|5|5|5||2019-10-16|Met|2019
40104050000000|San Luis Obispo County Office of Education|10|5|5|5|5|5|5|5|5||2019-10-03|Met|2019
41104130000000|San Mateo County Office of Education|10|3|3|5|2|4|4|2|3||2019-10-16|Met|2019
42104210000000|Santa Barbara County Office of Education|10|3|3|4|4|3|2|3|3|In 2018-19 we increased the amount of information and assistance provided to LEAs by holding LCAP consultation meetings with districts. We also sent notifications to schools for students who entered foster care. The school notifications provide critical information, such as who holds educational rights, and also serve as records requests. This is one of the procedures that we have implemented which has moved us into initial implementation of establishing ongoing collaboration to facilitate the expeditious transfer of educational records and information.  Our local FYSCP Executive Advisory Council has been reviewing local data to set program priorities. Our strategy is to provide increased support to districts with population concentrations, as well as to districts serving students who live in Short Term Residential Treatment programs. We continue to work toward gathering more academic outcome data in order to incorporate this information into our strategy as well.  In 2018-19 we collected data on program deliverables such as the number of Educational Progress Reports sent to social workers prior to court dates, the number of school notifications sent for detained youth, and the number of Child and Family Team meetings attended by educational representatives. We have been simultaneously reviewing dashboard and Dataquest data for every district in our county, while collecting local data in order to evaluate the effectiveness of our current services.|2019-10-03|Met|2019
43104390000000|Santa Clara County Office of Education|10|5|4|5|4|5|5|2|4||2019-10-16|Met|2019
44104470000000|Santa Cruz County Office of Education|10|5|5|5|5|5|5|5|4|The Santa Cruz County Office of Education coordinates services for foster youth with local school districts, Juvenile Court, Human Services Department (Child Welfare Agency) and many community-based organizations.  Based on both the CDE’s Foster Youth Services Coordinating Program (FYSCP) Ed Code guidelines and The National Center for Youth Law’s FosterEd Model, the Santa Cruz COE has developed a robust case management and education advocacy team serving all foster youth in the county.|2019-10-17|Met|2019
45104540000000|Shasta County Office of Education|10|3|3|4|5|4|4|3|3||2019-10-09|Met|2019
46104620000000|Sierra County Office of Education|10|0|0|0|0|0|0|0|0|||Not Met For Two or More Years|2019
47104700000000|Siskiyou County Office of Education|10|5|5|5|5|5|4|5|4||2019-10-16|Met|2019
48104880000000|Solano County Office of Education|10|5|5|5|5|5|5|2|2|The Solano County Office of Education (SCOE) coordinates the Solano County Foster Youth Services Coordinating Program (FYSCP) to provide technical assistance, training, and support to school districts and community partners in addressing the educational needs of foster youth. SCOE has developed an inter-agency agreement which outlines the coordination of services and information sharing processes among the different organizations. SCOE hosts bi-monthly collaboration meetings through the Foster Youth Education Planning Team, which identifies gaps in services and brings community-based organizations together to find solutions. SCOE staff is co-located at Solano Child Welfare Services (CWS) and acts as a liaison between the school districts and CWS to facilitate timely communication and transfer of records. SCOE staff also provides annual training for each district and community partners on the needs of foster youth and evidence-based interventions.   While SCOE has initiated a discussion among stakeholders about county wide priorities to support foster youth and the need for community wide assessments and program evaluation, there is considerable progress to be made in this area. SCOE will continue to collaborate with the FYSCP to identify data collection practices that will support prioritization and inform decisions about the effectiveness of current services.|2019-11-13|Met|2019
49104960000000|Sonoma County Office of Education|10|4|3|4|2|5|3|3|3||2019-11-07|Met|2019
50105040000000|Stanislaus County Office of Education|10|5|5|5|5|5|5|5|5||2019-10-08|Met|2019
51105120000000|Sutter County Office of Education|10|3|3|4|2|4|4|3|3||2019-10-09|Met|2019
52105200000000|Tehama County Department of Education|10|3|5|4|1|4|4|1|1||2019-10-09|Met|2019
53105380000000|Trinity County Office of Education|10|5|5|5|5|5|5|5|5|Since inception of Trinity County Office of Education Foster Youth Services in 2006, a county liaison (FYSL) has been located in the Child Welfare Services (CWS) office, thereby, having immediate access to all foster placement and movement.  The FYSL is an integral part of case management.|2019-10-16|Met|2019
54105460000000|Tulare County Office of Education|10|5|5|5|5|5|5|5|5||2019-10-09|Met|2019
