cdsCode|lea|priorityNumber|numMisassignments|numMaterials|numFacilities|meetingDate|performance|additionalInfo|year
19642120000000|ABC Unified|1|Zero|Zero|0|2019-10-15|Met||2019
19769680109926|Academia Avance Charter|1|0|0|0|2019-10-26|Met|Avance has met the requirements for appropriately assigned teachers, access to curriculum-aligned instructional materials, and safe, clean and functional school facilities.|2019
19647330120097|Academia Moderna|1|0|0|0|2019-10-08|Met||2019
19642460126003|Academies of the Antelope Valley|1|Zero misassignments of teachers of English Learners, zero total teacher misassignments, one (1) teacher vacancy|0|0|2019-11-14|Met||2019
36750773631207|Academy for Academic Excellence|1|0/0%, 5/7%, 1/1%|0/0%|-7|2019-10-14|Met|Minor deficiencies were recorded in the most recent facility inspection and will be addressed during the school year. None of the deficiencies impede normal school function.|2019
36677360116723|Academy of Careers and Exploration|1|0|0|0|2019-10-09|Met||2019
07616300000000|Acalanes Union High|1|0|0|0|2019-10-16|Met|AUHSD staff completes an annual review of the data related to the Priority 1 questions. Based on the 2018-2019 data, AUHSD has "0" instances in all areas described above.|2019
19647336112536|Accelerated|1|0|0|0|2019-10-24|Met||2019
23656152330454|Accelerated Achievement Academy|1|0|0|0|2019-10-15|Met||2019
19647330100743|Accelerated Charter Elementary|1|0|0|0|2019-10-24|Met||2019
54722490133793|Accelerated Charter High|1|0/0%|0/0%|0|2019-10-17|Met||2019
43694270125617|ACE Charter High|1|0 / 17, 0%|0%|0|2019-10-16|Met||2019
43104390116814|ACE Empower Academy|1|0 /14, 0%|0%|0|2019-10-16|Met||2019
43694500129247|ACE Esperanza Middle|1|0 /15, 0%|0%|0|2019-10-16|Met||2019
43696660131656|ACE Inspire Academy|1|0 /14, 0%|0%|0|2019-10-16|Met||2019
01612590111476|Achieve Academy|1|0|0|0|2019-10-31|Met||2019
04100410136820|Achieve Charter High|1|||0||Not Met||2019
04615310110338|Achieve Charter School of Paradise Inc.|1|Out of 11 teachers, 2 are teaching with board authorization to teach out of their subject area. One assignment is temporary and the other teacher is pursuing her supplemental subject credential|0|2|2019-10-16|Met|Restrooms/Fountains: Restrooms, Sinks/ Fountains: After the Camp Fire we reopened Achieve at Life Church in Chico. We utilized Sunday school classrooms that were very small, a sanctuary and community center as classrooms. Students used folding tables and chairs. We used portable bathroom trailers and brought in bottled water as we had limited restrooms and no drinking fountains.  Playground space was extremely limited.  During this time we were building a temporary school facility on the baseball field at the church we were located. We opened the 2019-2020 school year in a new school facility built to code that passed city safety inspections.|2019
31667610000000|Ackerman Charter|1|||0||Not Met For Two or More Years||2019
19753090000000|Acton-Agua Dulce Unified|1|0/0%|0/0%|0|2019-10-30|Met||2019
42767866118202|Adelante Charter|1|0|0|0|2019-05-06|Met||2019
36675870000000|Adelanto Elementary|1|0|0%|0|2019-10-29|Met|All teachers are appropriately credentialed. The district's first quarterly report had no findings.|2019
30666700135897|Advanced Learning Academy|1|||0||Not Met||2019
