cdsCode|lea|priorityNumber|nativeSummary|profLearningELA|profLearningELD|profLearningMath|profLearningScience|profLearningSocial|materialELA|materialELD|materialMath|materialScience|materialSocial|programELA|programELD|programMath|programScience|programSocial|standardTechEd|standardHealthEd|standardPhysicalEd|standardPerformingArts|standardWorldLang|ActivityGroupNeeds|ActivityIndividualNeeds|ActivitySupport|meetingDate|additionalInfo|performance|year
19642120000000|ABC Unified|2|The Reflection Tool provided by the State was modified to include descriptors for the rating scale. The rating scale was adjusted to a four point scale with the following indicators: Phase 1- Exploration and Research; Phase 2 – Initial Implementation; Phase 3 - Partial Implementation; and Phase 4 - Full Implementation.   The District’s progress in providing professional learning for teaching to the State adopted academic standards and/or curriculum frameworks was: ELA/ELD, Phase 4; math, Phase 4;  science, Phase 3; and history-social science, Phase 3.   Teachers’ ratings of their professional learning experiences positive impact on classroom practices were:  ELA/ELD, 89%; math, 89%; science, 96% and history-social science 85% for secondary teachers.  The Williams Instructional Materials Report was used to certify that all teachers have access to standard aligned instructional materials in ELA/ELD, math, science and history-social science.   The District’s progress in providing policies and programs to support staff in identifying areas where they can improve standards-based instruction (e.g. data analysis, focused classroom learning walks, and teacher co-planning/co-teaching) was at Phase 3: Partial Implementation in ELA/ELD, math, science and history-social science.   There was an increase in teachers’ use of the District's strategies and structures to identify areas of need in ELA/ELD, math, science and history-social science.  The implementation of academic standards for CTE, Health, PE, Visual and Performing Arts and World Language is at Phase 3-Partial Implementation.   The District’s progress in engaging teachers and administrators in identifying professional learning needs was in Full Implementation (Phase 4). Data analysis meetings, classroom observations and individualized professional learning with academic coaches allowed the identification of group and individual teacher needs and customized support for teachers. Administrators and teachers identified coaching and site-based professional learning as their preferred means to receive professional learning, 88% and 79%, respectively.|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2019-10-15||Met|2019
19769680109926|Academia Avance Charter|2||5|4|5|5|5|5|4|5|5|5|5|4|5|5|5|4|5|5|5|5|5|5|5|2019-10-26|Avance has implemented the Common Core State Standards since first adopted by the State Board of Education. Since then, Avance has worked diligently to align community-based priorities and a college and career curriculum framework with the Common Core State Standards (CCSS). Achievement in culturally based arts and design curriculum across the grade levels effectively stimulate young imaginations, challenge perceptions and develop creative and analytical skills. Additionally, at Avance our teachers challenge and enrich students in a real-world context.   To better serve teachers and students, Avance continues to train teachers on how to align curriculum between the CCSS and Success For All Program. Moreover, teachers are trained to provide supports to English Language Learners and special needs students by meeting with EL Coordinator and Special Education personnel. Avance has successfully implemented the common core and offers A-G courses to grades 9th through 12th.   In order to stay current with technology use, Avance continues to train teachers, administrators and staff on the use of the Google suite for collaboration and support in curriculum. In addition, Avance has supported teacher training in the use of the SmarterBalanced/NWEA MAPS and how to analyze performance data from state exams and interim assessments regularly.|Met|2019
19647330120097|Academia Moderna|2||4|4|3|3|4|4|4|4|3|4|4|4|4|4|4|1|2|4|3|4|4|4|4|2019-10-08||Met|2019
19642460126003|Academies of the Antelope Valley|2||4|4|4|3|2|4|4|4|2|2|4|4|4|4|3|4|4|4|3|3|4|4|4|2019-11-14||Met|2019
36750773631207|Academy for Academic Excellence|2||5|4|4|4|4|5|5|5|4|3|5|5|5|5|5|5|4|5|5|5|5|5|5|2019-10-14||Met|2019
36677360116723|Academy of Careers and Exploration|2||4|3|4|4|3|5|4|5|3|3|5|4|5|4|4|3|5|5|4|4|4|4|4|2019-10-09||Met|2019
07616300000000|Acalanes Union High|2||4|4|5|4|4|4|4|5|4|4|4|4|5|4|4|4|5|5|5|4|5|5|5|2019-10-16|Priority 2 reflection tool information is based on the 2018-2019 school year. AUHSD staff has been implementing changes in all curricular areas as a result of implementation of California State Standards (Common Core ELA and Math) new Science Framework and Next Generation Science Standards, new Social Studies Framework and new World Language Framework and content standards. AUHSD staff has been methodically and systematically updating all courses with the re-alignment to the new standards being done one grade level at a time. New textbooks have been adopted in all core academic areas to support implementation of new curricula and staff is provided with professional development and support to implement the shifts in instructional practices and the new frameworks and standards.|Met|2019
19647336112536|Accelerated|2|The Accelerated School is currently using CCSS aligned materials in ELA and Math to track its progress in implementing the state academic standards. The new common core curriculum purchased for ELA and Math last school year was a direct response to our low CAASPP performance. The adopted curriculum is highly rigorous and assists with providing teachers with assessments where the results are used to drive instruction. NGSS training began two years ago and we are now piloting two programs (McGraw-Hill and Amplify) to determine which will fit the needs of our students best. We plan to adopt in January, train all staff in March and have full implementation of the Next Generation Science Standards in August 2020. For Grades TK-5th grade the ELD curriculum, that is a part of the newly adopted McGraw Hill, ELA program Wonders, is being implemented with fidelity. In middle school, Study Sync has been purchased and is being used as a stand-alone program for the ELD classes as well as with all students grades 6-8. The Accelerated School (TAS) provides all CAASPP data and results to the governing board 3 times per year. Data is also shared with various stakeholders and discussed school-wide during Professional Development with teachers and parents during parent meetings and via the SSC-ELAC committee meetings.|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2019-10-24||Met|2019
23656152330454|Accelerated Achievement Academy|2||5|4|5|4|5|5|5|5|5|5|5|5|5|5|5|5|5|4|1|3|5|5|5|2019-10-15||Met|2019
19647330100743|Accelerated Charter Elementary|2|The Accelerated Charter Elementary School is currently using CCSS aligned materials in ELA and Math to track its progress in implementing the state academic standards. The adopted ELA and Math curricula are highly rigorous and based on the Common Core State Standards. The curriculum assists with providing teachers with assessments where the results are used to drive instruction. We also began providing training in NGSS to teachers and administrators two years ago and are moving towards purchasing curriculum in January 2020 with full implementation of the Next Generation Science Standards taking place in August 2020. For TK-6th grade the ELD curriculum, that is a part of the newly adopted McGraw Hill, ELA program, Wonders is being implemented with fidelity. The Accelerated Charter Elementary School (ACES) provides all CAASPP data and results to the governing board and various stakeholders, which is also shared and discussed school-wide during Professional Development with teachers and with parents during parent meetings and the SSC-ELAC committee meetings.|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2019-10-24||Met|2019
54722490133793|Accelerated Charter High|2|Our district annually measures its progress in implementing the state academic standards. Even though the English Language Arts and mathematics standards were implemented 7 years ago, our district and schools continue to refine the implementation through revising the curriculum and its alignment to the standards. Our district also continues to focus on refining the alignment of our math courses to the common core mathematics standards. Our district and schools continue to support our teachers on the implementation of English Language Development standards. All of our core departments have been trained on the ELD standards. The Next Generation Science Standards have also been a districtwide focus for our science teachers these past four years. Our district has revised our science course sequence and the curriculum in Biology, Chemistry and Intro Physical Science to reflect the standards. Additionally, our science teachers throughout the district meet three times a year to review the implementation of the NGSS standards in Biology, Chemistry and Intro to Physical Science. Our freshmen physical education courses have created units that are aligned to the health content standards. History, career technical education courses, Physical Education, Visual and Performing Arts and World Language, also continue to regularly review the state standards for their courses to ensure alignment to the curriculum. Our history teachers participated in the state roll-out of the History-Social Science Framework training.|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2019-10-17||Met|2019
