cdsCode|lea|priorityNumber|summary|meetingDate|additionalInfo|performance|year
19642120000000|ABC Unified|6|The results from the 2018-19 California Healthy Kids Survey (CHKS) were: 57% of 5th graders, 63% of 7th graders, 40% of 9th graders, and 39% of 11th graders reported high levels of school connectedness. In comparison to the 2017-18 CHKS results, there was a slight percentage increase for students in 5th and 7th grade reporting high levels of connectedness. The data for 9th graders indicate a decline, and the data for students in grade 11 remains the same for student connectedness. The ‘school connectedness’ data includes students’ sense of safety at their schools. Every school in ABC demonstrated a significant increase in the percentage of students who indicated agree or strongly agree in the area of school connectedness. The California School Parent Survey indicate 95% of parents/guardians agree or strongly agree that school is a safe place for students, this is a 2% increase from last year. Ninety-one percent of ABC employees who completed the survey indicated they feel safe, which is a 2% increase from the previous school year.   Students’ sense of connectedness and safety are District priorities. In August of 2019, every school received a permanent mental health professional(s) (MHP) who works directly supporting individual students and student groups. Support from the MHP helps students to feel connected to school and promotes student engagement in their school community. The District continues to improve school and facilities safety with changes to public entrance on school campuses, improvement to student drop-off and pick-up areas, and camera installations. Beginning in fall 2019, the District and all schools are using the visitors management system to issue temporary ID badges to any person entering a school or district building without a District issued ID. The Board has contracted with a consultant firm who will provide a report on the current safety status of each school and recommend areas of improvement. The Board and district staff will use the Consultant’s recommendations to improve safety measures in schools and district buildings.|2019-10-15||Met|2019
19769680109926|Academia Avance Charter|6|Participation Rate  Academia Avance Charter School administered it’s own college readiness survey in conjunction with the CA Healthy Kids Survey (CHKS) to grades 6-12 with a total of 287 students (over 86% participation rate) that participated. The students surveyed also included socio-economically disadvantaged, English Learners and homeless youth.   Survey Findings  The following are the student survey findings:  • 89.9% stated that they participated in the Avance College Week tours this year. • 81.9% stated that they “agree” and “strongly agree” that adults at this school encourage me to work hard so I can be successful in college or at the job I choose. • 70% stated that students at this school are motivated to learn. • 74.1% stated they felt “loved” and “strongly loved” the College Week experience.  • 78.7% stated that “my teachers work hard to help me with my schoolwork when I need it.” • 81.5% stated teachers give students a chance to take part in classroom discussions or activities. • 78%  stated that this school is a supportive and inviting place for students to learn.  •74.8% stated they were “likely to attend a 4 year college or university after they graduate from High School?” • 75.3% stated that teachers go out of their way to help students. • 73.5% stated that “my teachers give me useful feedback on my work.” • 74% stated that adults at this school treat all students with respect. • 57.5% stated that they feel the school rules are “fair” and 29.6% stated that they feel “neutral”.  • 61% stated that this school helps students resolve conflicts with one another. • 71% stated that If “I tell a teacher that someone is bullying me, the teacher will do something to stop it.” • 70% stated that Teachers in this school respect a student’s’ differences (for example, gender, race, culture, sexual orientation). • 57% stated that the schoolyard and buildings are clean and in good condition and 26.5% stated they felt “neutral”. • 75% stated that this school has “helped me think about and explore future career options.” • 74% stated that this school has “helped me learn about colleges, how to apply to them, and get financial aid if I need it.”|2019-10-26|Our school will utilize the results of the Avance college readiness and CHKS survey to inform the LCAP, stakeholders, improve schoolwide support services, school climate, and increase student participation rates with the goal to continuously improve outcomes.|Met|2019
19647330120097|Academia Moderna|6|Key learnings from a survey that was given to parents about Back to School Night showed that 70% parents appreciated the new format to the program. Seventy-five percent of the parents said that they found the presentation about the school's instructional focus and goals helpful, which happened at a Coffee with the Principal meeting prior.   Key learnings from a survey taken by students at the start of October have shown that over 50% of students reported that they had not missed school yet this year.  Twelve percent of the students reported that they missed 3 or more days.  It was reported that about 75% of the students eat breakfast either at home or school.  About 50% of students reported that they feel proud to be a student at Academia Moderna with 45% feeling motivated at school the majority of the time. Over 70% of the students feel that adults on campus listen to them and treat them fairly.  In terms of bullying over 70% of students shared that the school makes it clear that bullying is not allowed, and about the same percentage would report bullying to an adult on campus.  Over 80% of the students reported that if bullying happens, something will be done.  Less than 50% of the students would actually try to stop bullying if they saw it and reported that over 70% of students feels that the conflict will be resolved.  An overwhelming majority of the students reported that smoking, and drinking is "very bad" for your health. Key learnings from a survey taken by staff indicated that 80% of staff emphasize agree or strongly agree that they work in a supportive environment. Fifty percentof the staff indicidate that they would like more training in different areas such as stanards based instruction, behavioral supports, IB, and English Learners.|2019-10-08|Academia Moderna is implementing Positive Behavioral Interventions & Supports. The staff believes that consistency and repetition is key to establish a climate where appropriate behavior is the norm. The staff is committed to modeling and rewarding students when appropriate behaviors are shown.|Met|2019
19642460126003|Academies of the Antelope Valley|6|DATA: School pride grew to over 98% agreement for students; it grew for parents from 96% agreement to 100%; employee pride grew to 100% agreement (9% growth in strongly agree).  Caring relationships grew for student to 96%; for parents it grew to over 98%; employee maintained a 99% of being intentional about creating positive relationships with students.  Students feeling safe at school grew to 93% (improving by about 4%); parent’s perceptions of school safety grew to over 97% (6% growth to strongly agree); employees reported feeling safer at work to over 98% (2% growth to strongly agree).  Over 97% of students, parents and employees felt that the school provided enough resources to be successful.  90% of students feel there school is clean and well-maintained.  Parent’s perceptions of school cleanliness was 99% and employees were 98%.  For technology as a regular part of the student’s educational experience, students, parents and employees report over 98% agreement.  Open lines of communication are high for all stakeholders (95% for students, 99% for parents and 96% for employees).  Percentage of student participation in school related activities, clubs, programs or sports had 69% while parents and employees inflated this participation metric with 84% of parents saying their child is involved and 100% of employees saying they actively encourage student to be involved.  Student’s belief that there is a teacher or other adult at school who has high expectations of them grew to 93% while parents and employees guessed this number slightly higher at 98% and 100%.  Finally, connectedness to the school for students grew to 81% while parents and employees agreed with student connectivity at 98% and 92%. MEANING: This data revealed slow and steady progress at all of our schools.  Within this growth, disparities still exist between student perception and adult perception.  Areas of strength continue to be in overall school climate, including relationships between adults and students and school safety.  Work still needs to be done to improve the cleanliness of our campuses, particularly the older sites.  Connectivity to the school and student involvement seem to be strongly correlated and so efforts will be undertaken to increase school participation in activities, programs, clubs and sports. USE: Academies of the Antelope Valley reviewed this data and made adjustments to their Single Plans for Student Achievement based upon feedback received.  Each of the schools expressed joy in that many of their actions were already starting to yield results.|2019-11-14||Met|2019
36750773631207|Academy for Academic Excellence|6|In the fall of 2019, AAE conducted a student climate survey to all fourth, eighth, and twelfth-grade students. Students at AAE generally enjoy their school with 83% of students stating they like their school and 75% believing their length of the school day is about right. Students at AAE indicated an overwhelming feeling of connectedness to the teaching staff. 82% of students view teachers as being encouraging, providing meaningful assignments, offering assistance to struggling students, and recognizing achievement. While 74% of students believe that their school is safe and enjoyable, one glaring concern was the overall cleanliness of the campus. 64% of students believe that the campus is not being maintained well. To rectify this issue, a new facilities manager was hired at the start of the 2019-20 school year along with a groundskeeper. Several of the issues students commented on are being addressed or have already been resolved. The school is also in the process of hiring a nighttime facilities crew rather than contracting from the outside.   42% of students view harassment, intimidation, and bullying still being an issue at AAE. The school responded to this in 2018-19 with a new administrative structure, one Principal for TK-12, a Vice Principal for TK-5 and Vice Principal for 6th-12th grades to better meet the needs of students. In 2019-20, grades TK-8th are implementing research-based Social Emotional Learning programs to help students better resolve issues with peers and be proactive in dealing with everyday life issues. The school also implemented an SEL survey to be administered twice annually to students in grades 3-12, measuring the effectiveness of these programs and the emotional health of students.   Over 60% of students feel they have a voice in regards to their school. The Student Advisory Council continues in all three grade bands—high school, middle school, and elementary—meeting monthly with the current administration. Students continue to be encouraged to inform council members about concerns that can be brought to the council for discussion. Several items such as food quality and restroom cleanliness, have been improved due to this process.|2019-10-14||Met|2019
36677360116723|Academy of Careers and Exploration|6|The independence Charter Academy administers an annual climate survey that focuses on the student's perception of whole school, classroom, bus, cafeteria, and bathroom safety. These surveys are administered to every student in grade 2-12. The results are reported at annual stakeholder meetings in order to gain feedback for LCAP and Strategic Planning purposes as well as during open session of a regularly scheduled Board Meeting. Annual survey data has had an upward or stable trend over the past six years in all areas. Overall students feel that they attend school in a safe environment where those who are responsible care about their wellbeing. It should be noted that during the last survey administration bullying perceptions were reduced significantly and in the parent climate survey input was more than doubled.|2019-10-09||Met|2019
07616300000000|Acalanes Union High|6|AUHSD administers the California Healthy Kids Survey (CHKS) every other year, to all students in grades 9 and 11. The district has administered the following CHKS modules to the students: Core, Alcohol and Other Drugs, and Resilience & Youth Development. Results of the CHKS are reported in meetings to the Governing Board, parent organizations at the district and school level, students and staff. This review of the data in this Dashboard is based on the 2017-2018 administration of the CHKS. CHKS will be administered in November, 2019. School Safety High numbers of AUHSD students feel safe at their schools. 76% of 9th graders and 81% of 11th graders perceive their school as a very safe or safe environment. Differences are noted when the data is examined by subgroup. Among 9th graders it is noted that students identifying as Asian (76%), Native Hawaiian or Pacific Islanders (83%), White (77%)  and two or more races (74%) feel safer at schools while students identifying as Hispanic or Latino (72%) or Black or African American (61%) feel safe at school at the lower percentages. Similar trend is seen among AUHSD 11th graders with the exception of Native Hawaiian or Pacific Islanders where we note percent of students feeling safe drop to 64%. While the overall percent of students feeling safe is high and well above the state average, AUHSD staff has noted a three year downward trend. This, in addition to the gap in safety perception noted by subgroup is our area of focus. For those students feeling unsafe, experiencing harassment or bullying, especially cyber bullying was identified as the main reason.  Connectedness  High numbers of AUHSD students feel connected to their school. Based on the 2017-2018 CHKS, 63% of 9th graders and 58% 11th graders felt high levels of school connectedness. 2017-2018 CHKS connectedness data was not available broken down by subgroup. AUHSD staff noted a three year downward trend relating to students feeling connected on AUHSD campuses. This is a focus of all schools and is represented in the Single Site Plans for School Achievement goals. In addition to the CHKS survey, AUHSD administered Challenge Success – Stanford Survey of School Experiences during the 2018-2019 school year. The survey reports an increase in percent of students feeling connected to adults on campus and an upward (positive) trend in this area.  AUHSD has placed specific focus on the issue of connectedness as well as social and emotional health of our students. This is also reflected in the LCAP goals. This goal was in part due to the CHKS data that 24% of 9th graders and 36% of 11th graders experience chronic sadness and hopelessness and 16% of 9th and 20% 11th graders report suicide ideation in the past 12 months. LCAP goals have resulted in various wellness initiatives including opening Wellness Centers staffed with mental health specialists at each campus.|2019-10-16|AUHSD utilizes California Healthy Kids Survey (CHKS) as a School Climate evaluation tool.  CHKS is administered by the state of California every other year and was not administered during the 2018-2019 school year, therefore the data utilized in the self-reflection tool is based on the 2017-2018 CHKS survey. AUHSD will be administering CHKS in November, 2019 to all 9th and 11th graders and this data will be utilized during the following year when completing this self-reflection tool.|Met|2019
19647336112536|Accelerated|6|The 2018-2019 LCAP Stakeholder Survey reports that The Accelerated School provides a safe environment for staff and students. Parents are satisfied with school response time and parents are pleased with the educational programs provided to their children. Parents voiced that they would like to take part in campus safety walk-throughs, which as a result, will be implemented this year. We have also included parents on more committees (such as they Wellness Committee) this school year so that this stakeholder voice can be heard in a timely manner. Stakeholders have also voiced that they feel that The Accelerated School provides a more rigorous academic program than similar or resident schools.  The Accelerated School will continue to analyze and evaluate the safety of the school, the academic programs offered at the school site, the cleanliness of the facilities, the courses offered to students and their effectiveness. This will be done through surveys, observations, and stakeholder input at various meetings.|2019-10-24||Met|2019
23656152330454|Accelerated Achievement Academy|6|According to the 2018-2019 student survey, 87% of students feel they are at least as successful or more successful than in previous years, 87% feel they learned more this year than in the past, 67% feel that they can talk to staff about their needs and 69% prefer Accelerated to their previous schools. On all questions, an average of 12% of students had no opinion.  The survey is an important metric for Accelerated Achievement Academy's LCAP goal to foster a positive school environment.  The school is focusing on making school a more enjoyable place with the addition of more field trips, speakers and activities.|2019-10-15||Met|2019
19647330100743|Accelerated Charter Elementary|6|The LCAP Stakeholder Survey reports that The Accelerated Charter Elementary School provides a safe environment for staff and students. Parents are satisfied with school response time and parents are pleased with the educational programs provided to their children. Parents voiced that they would like to take part in campus safety walk-throughs, which as a result, will be implemented this year. We have also included parents on more committees (such as the wellness committee) this school year so that this stakeholder voice can be heard in a timely manner. Stakeholders have also voiced that they feel that The Accelerated Charter Elementary School provides a more rigorous academic program than similar or resident schools.  The Accelerated Charter Elementary School will continue to analyze and evaluate the safety of the school, the academic programs offered at the school site, the cleanliness of the facilities, the courses offered to students and their effectiveness. This will be done through surveys, observations, and stakeholder input at various meetings.|2019-10-24||Met|2019
