cdsCode|lea|priorityNumber|requiredData|eduAlternate|devPlan|policyDev|partialCredit|altPlacement|additionalInfo|meetingDate|performance|year
01100170000000|Alameda County Office of Education|9|4|4|5|5|3|3|With efforts being put forth to incorporate intervention, culturally relevant teaching and restorative justice practices, districts are making efforts to reduce the number of expulsions that often represent students of color and/or lower socio-economic status. This impacts the student representation within the COE’s Community Schools as referrals are coming in at a slower rate than in previous years. However, the ACOE Community Schools still offer numerous opportunities for expelled youth to be re-admitted into their home districts, once referred. When students are referred during the second semester (or later) of their third year of high school, Student Programs and Services (SPAS) support youth through high school diploma programming or transitioning into an adult school or our very own Alameda County Opportunity Charter that serves disconnected youth and young adults. We have made a concerted effort to continue to build on partnerships with Local Education Agencies throughout the county by hosting a quarterly Student Services Council meeting where policy and regulatory issues are addressed and highlighted for implementation across districts.One, especially, critical issues has been around partial credit and the policies associated with ensuring that districts meet the requirements of California Education Code Section 48645 which requires each public school district and county office of education to accept for credit, full or partial coursework satisfactorily completed.|2019-10-15|Met|2019
02100250000000|Alpine County Office of Education|9|2|2|2|2|2|2|We are a single-single and have not previously nor currently serve any expelled students.|2019-10-08|Met|2019
03100330000000|Amador County Office of Education|9|4|4|5|5|5|2|Amador County Office of Education (ACOE) is committed to providing educational opportunities for all of our students, including our expelled youth, as evidenced by the recently updated Amador County Plan for Expelled Youth (2018-2021). ACOE strives to be proactive in the recognition of challenges students face and offering interventions prior to reaching expulsion. Interventions may include student study teams, academic and emotional assessments, parent meetings, restorative justice strategies, special education services, referral to after school activities, counseling, and student behavior contracts. In-school suspension and off-campus suspension are a final strategy. We offer several options for our expelled youth. Stipulated or suspended expulsion options may include placement at the student’s home school, another school in the county, or an Educational Options program. All of these placements include formal terms of probation, rehabilitation, behavior contract, and attendance in order for the student to continue. Expulsion options include referral to an ACOE Educational Options program. Expelled students will have an Individual Learning Plan developed by appropriate staff. Part of this plan may include return to the school of residence. Alternative placement and alternative strategies are developed, with the Court and Community School staff, for those students who have difficulty meeting the terms and conditions of their District designed rehabilitation plan.|2019-11-06|Met|2019
04100410000000|Butte County Office of Education|9|5|4|5|4|2|4||2019-10-14|Met|2019
05100580000000|Calaveras County Office of Education|9|5|4|5|4|4|4||2019-10-28|Met|2019
06100660000000|Colusa County Office of Education|9|3|3|2|3|1|3||2019-06-19|Met|2019
07100740000000|Contra Costa County Office of Education|9|5|4|5|4|3|4||2019-10-16|Met|2019
08100820000000|Del Norte County Office of Education|9|5|5|5|4|4|5|As a small, single district county, the COE is very closely tied with the District and has very positive working relationships with support providers to assist students in completing their rehabilitation plan.  Students move frequently between District and COE programs and collaboration between program administrators is very close and aimed at eliminating barriers to student success and re-entry.|2019-10-24|Met|2019
09100900000000|El Dorado County Office of Education|9|5|5|5|5|4|5||2019-10-01|Met|2019
10101080000000|Fresno County Office of Education|9|5|5|5|5|5|5||2019-10-17|Met|2019
11101160000000|Glenn County Office of Education|9|4|4|4|4|4|5||2019-10-16|Met|2019
12101240000000|Humboldt County Office of Education|9|4|4|5|5|3|4||2019-10-23|Met|2019
13101320000000|Imperial County Office of Education|9|5|5|5|5|4|5|The Expelled Plan was reviewed at a Superintendents’ meeting and is submitted to the state on a triennial basis. ICOE is at full implementation and sustainability on coordination of services for questions 1-3. For question 4, ICOE administrators have discussed AB 490 policies with school districts and other agencies and an MOU is in the development process. ICOE’s administration works with all school districts to ensure that students referred to our school receive drop grades and or partial credits upon enrollment. An MOU that will outline partial credits for expelled students will be developed.|2019-10-14|Met|2019
